sectioncode,roomname,startdate,enddate,starttime,endtime,weekday
SE1731,201,2025-09-01,2025-12-15,08:00,10:00,Monday
SE1732,202,2025-09-02,2025-12-16,10:15,12:15,Tuesday
SE1733,203,2025-09-03,2025-12-17,13:00,15:00,Wednesday
SE1734,204,2025-09-04,2025-12-18,15:15,17:15,Thursday
SE1735,205,2025-09-05,2025-12-19,08:00,10:00,Friday
SE1736,201,2025-09-08,2025-12-22,10:15,12:15,Monday
SE1737,202,2025-09-09,2025-12-23,13:00,15:00,Tuesday
SE1738,203,2025-09-10,2025-12-24,15:15,17:15,Wednesday
SE1739,204,2025-09-11,2025-12-25,08:00,10:00,Thursday
SE1740,205,2025-09-12,2025-12-26,10:15,12:15,Friday
